#routeId	sign	shape	departs	stops
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,17:48:00,3;124,17:50:00,2;124,17:50:00,1	403399,0,;803147,292,;803105,389,;903280,600,;404857,960,;405006,1028,;401168,1169,;401169,1231,;405165,1417,;403317,1500,;403732,1620,;402033,1860,;402034,1917,;404100,2014,;402036,2101,;402037,2181,;402038,2265,;402039,2391,;401630,2459,;402041,2520,;402042,2576,;402043,2620,;404099,2782,;405368,2920,;903080,3000,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,07:14:00,3;124,07:15:00,2;124,07:15:00,1	403399,0,;803147,234,;803105,311,;903280,480,;404857,660,;405006,706,;401168,799,;401169,840,;405165,965,;403317,1020,;403732,1120,;402033,1320,;402034,1367,;404100,1446,;402036,1517,;402037,1582,;402038,1652,;402039,1754,;401630,1810,;402041,1860,;402042,1930,;402043,1984,;404099,2188,;405368,2360,;903080,2460,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,08:12:00,3;124,08:32:00,3;124,08:52:00,3;124,09:07:00,3;124,09:37:00,3;124,07:52:00,3;124,08:02:00,3;124,08:22:00,3;124,08:42:00,3;124,09:22:00,3;124,08:09:00,2;124,08:29:00,2;124,08:51:00,2;124,09:03:00,2;124,09:27:00,2;124,09:39:00,2;124,07:49:00,2;124,07:59:00,2;124,08:19:00,2;124,08:39:00,2;124,09:15:00,2;124,08:09:00,1;124,08:29:00,1;124,08:51:00,1;124,09:03:00,1;124,09:27:00,1;124,09:39:00,1;124,07:49:00,1;124,07:59:00,1;124,08:19:00,1;124,08:39:00,1;124,09:15:00,1	405396,0,;402048,47,;402049,109,;401832,283,;405390,342,;404264,463,;402054,551,;402055,608,;402056,661,;402057,720,;401589,832,;403307,930,;403306,1014,;403305,1100,;403304,1232,;403303,1301,;402067,1424,;401202,1560,;403319,1697,;403318,1778,;401206,1860,;404287,2007,;401208,2084,;401209,2182,;401210,2280,;402870,2325,;903282,2580,;405386,2706,;903298,2747,;403397,3160,;803108,3240,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,09:20:00,3;124,09:40:00,3;124,10:00:00,3;124,09:00:00,3;124,09:10:00,3;124,09:30:00,3;124,09:50:00,3;124,09:15:00,2;124,09:35:00,2;124,09:05:00,2;124,09:25:00,2;124,09:45:00,2;124,09:57:00,2;124,09:15:00,1;124,09:35:00,1;124,09:05:00,1;124,09:25:00,1;124,09:45:00,1;124,09:57:00,1	403399,0,;803147,350,;803105,467,;903280,720,;404857,1020,;405006,1073,;401168,1182,;401169,1230,;405165,1376,;403317,1440,;403732,1540,;402033,1740,;402034,1792,;404100,1880,;402036,1959,;402037,2031,;402038,2108,;402039,2223,;401630,2285,;402041,2340,;402042,2403,;402043,2452,;404099,2635,;405368,2790,;903080,2880,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,17:07:00,3;124,17:07:00,2;124,17:07:00,1	405396,0,;402048,50,;402049,118,;401832,307,;405390,371,;404264,502,;402054,597,;402055,658,;402056,716,;402057,780,;401589,884,;403307,975,;403306,1053,;403305,1133,;403304,1256,;403303,1319,;402067,1434,;401202,1560,;403319,1670,;403318,1734,;401206,1800,;404287,1926,;401208,1992,;401209,2076,;401210,2160,;402870,2205,;903282,2460,;405386,2609,;903298,2657,;403397,3145,;803108,3240,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,18:12:00,3;124,18:10:00,2;124,18:10:00,1	403399,0,;803147,292,;803105,389,;903280,600,;404857,960,;405006,1028,;401168,1169,;401169,1231,;405165,1417,;403317,1500,;403732,1600,;402033,1800,;402034,1852,;404100,1940,;402036,2019,;402037,2091,;402038,2168,;402039,2283,;401630,2345,;402041,2400,;402042,2456,;402043,2500,;404099,2662,;405368,2800,;903080,2880,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,06:35:00,3;124,06:35:00,2;124,06:35:00,1	405396,0,;402048,39,;402049,91,;401832,236,;405390,285,;404264,386,;402054,459,;402055,506,;402056,551,;402057,600,;401589,680,;403307,750,;403306,810,;403305,872,;403304,966,;403303,1015,;402067,1103,;401202,1200,;403319,1310,;403318,1374,;401206,1440,;404287,1503,;401208,1536,;401209,1578,;401210,1620,;402870,1656,;903282,1860,;405386,1952,;903298,1981,;403397,2281,;803108,2340,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	0,7,:	403399,0,;803147,234,;803105,311,;903280,480,;404857,720,;405006,781,;401168,906,;401169,961,;405165,1126,;403317,1200,;403732,1300,;402033,1500,;402034,1547,;404100,1626,;402036,1697,;402037,1762,;402038,1832,;402039,1934,;401630,1990,;402041,2040,;402042,2103,;402043,2152,;404099,2335,;405368,2490,;903080,2580,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	1,2,:	405396,0,;402048,47,;402049,109,;401832,283,;405390,342,;404264,463,;402054,551,;402055,608,;402056,661,;402057,720,;401589,824,;403307,915,;403306,993,;403305,1073,;403304,1196,;403303,1259,;402067,1374,;401202,1500,;403319,1637,;403318,1718,;401206,1800,;404287,1947,;401208,2024,;401209,2122,;401210,2220,;402870,2274,;903282,2580,;405386,2672,;903298,2701,;403397,3001,;803108,3060,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,16:12:00,3;124,16:36:00,3;124,17:33:00,3;124,16:24:00,3;124,16:48:00,3;124,17:18:00,3;124,17:03:00,3;124,17:10:00,2;124,16:36:00,2;124,17:20:00,2;124,17:30:00,2;124,17:00:00,2;124,16:00:00,2;124,16:12:00,2;124,17:40:00,2;124,16:24:00,2;124,16:48:00,2;124,17:10:00,1;124,16:36:00,1;124,17:20:00,1;124,17:30:00,1;124,17:00:00,1;124,16:00:00,1;124,16:12:00,1;124,17:40:00,1;124,16:24:00,1;124,16:48:00,1	403399,0,;803147,292,;803105,389,;903280,600,;404857,960,;405006,1028,;401168,1169,;401169,1231,;405165,1417,;403317,1500,;403732,1620,;402033,1860,;402034,1917,;404100,2014,;402036,2101,;402037,2181,;402038,2265,;402039,2391,;401630,2459,;402041,2520,;402042,2583,;402043,2632,;404099,2815,;405368,2970,;903080,3060,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,17:22:00,3;124,17:22:00,2;124,17:22:00,1	405396,0,;402048,50,;402049,118,;401832,307,;405390,371,;404264,502,;402054,597,;402055,658,;402056,716,;402057,780,;401589,884,;403307,975,;403306,1053,;403305,1133,;403304,1256,;403303,1319,;402067,1434,;401202,1560,;403319,1670,;403318,1734,;401206,1800,;404287,1926,;401208,1992,;401209,2076,;401210,2160,;402870,2205,;903282,2460,;405386,2575,;903298,2612,;403397,2987,;803108,3060,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,18:25:00,3;124,18:22:00,2;124,18:22:00,1	403399,0,;803147,292,;803105,389,;903280,600,;404857,900,;405006,953,;401168,1062,;401169,1110,;405165,1256,;403317,1320,;403732,1420,;402033,1620,;402034,1672,;404100,1760,;402036,1839,;402037,1911,;402038,1988,;402039,2103,;401630,2165,;402041,2220,;402042,2276,;402043,2320,;404099,2482,;405368,2620,;903080,2700,
M9	BATTERY PK CITY via AVENUE C via PK ROW	M090014	124,19:32:00,3;124,21:27:00,3;124,20:57:00,3;124,19:57:00,3;124,20:27:00,3;124,22:00:00,3;124,19:57:00,2;124,20:27:00,2;124,22:00:00,2;124,20:57:00,2;124,21:27:00,2;124,19:57:00,1;124,20:27:00,1;124,22:00:00,1;124,20:57:00,1;124,21:27:00,1	405396,0,;402048,35,;402049,82,;401832,212,;405390,257,;404264,348,;402054,413,;402055,456,;402056,496,;402057,540,;401589,620,;403307,690,;403306,750,;403305,812,;403304,906,;403303,955,;402067,1043,;401202,1140,;403319,1250,;403318,1314,;401206,1380,;404287,1485,;401208,1540,;401209,1610,;401210,1680,;402870,1716,;903282,1920,;405386,2012,;903298,2041,;403397,2341,;803108,2400,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,20:30:00,3;124,20:50:00,3;124,20:55:00,2;124,20:35:00,2;124,20:55:00,1;124,20:35:00,1	403399,0,;803147,204,;803105,272,;903280,420,;404857,660,;405006,713,;401168,822,;401169,870,;405165,1016,;403317,1080,;403732,1160,;402033,1320,;402034,1367,;404100,1446,;402036,1517,;402037,1582,;402038,1652,;402039,1754,;401630,1810,;402041,1860,;402042,1909,;402043,1947,;404099,2089,;405368,2210,;903080,2280,
M9	KIPS BAY 1 AV - 26 ST via AVENUE C	M090011	124,22:15:00,3;124,21:45:00,3;124,22:45:00,3;124,22:45:00,2;124,21:45:00,2;124,22:15:00,2;124,22:45:00,1;124,21:45:00,1;124,22:15:00,1	403399,0,;803147,175,;803105,233,;903280,360,;404857,600,;405006,646,;401168,739,;401169,780,;405165,905,;403317,960,;403732,1060,;402033,1260,;402034,1297,;404100,1358,;402036,1414,;402037,1464,;402038,1518,;402039,1598,;401630,1641,;402041,1680,;402042,1729,;402043,1767,;404099,1909,;405368,2030,;903080,2100,
