#routeId	sign	shape	departs	stops
S40	MATRIX PT RICH TERR via GULF AV ARLNGTON	S400029	124,20:10:00,;124,21:30:00,;124,22:30:00,;124,23:03:00,;124,23:30:00,;124,20:11:00,;124,20:10:00,2;124,21:30:00,2;124,22:30:00,2;124,23:03:00,2;124,23:30:00,2;124,20:11:00,2;124,20:10:00,1;124,21:30:00,1;124,22:30:00,1;124,23:03:00,1;124,23:30:00,1;124,20:11:00,1	202577,0,;201256,39,;200050,75,;200051,114,;204064,155,;200053,218,;200054,274,;200055,301,;200056,360,;200057,420,;203469,485,;203222,517,;203481,552,;200014,589,;204074,638,;200063,674,;200064,697,;200065,732,;200066,772,;203102,791,;200069,825,;200070,863,;200072,900,;200073,945,;200074,963,;200075,998,;200076,1033,;203938,1065,;200078,1086,;200079,1102,;200080,1132,;204018,1151,;200082,1171,;200083,1204,;200084,1231,;200085,1262,;203846,1299,;202823,1313,;202824,1380,;203087,1427,;202830,1455,;203762,1500,;203763,1542,;203407,1570,;203061,1630,;200001,1657,;204060,2042,;805202,2100,
S40	ST GEORGE FERRY via RICHMOND TERR	S400033	124,00:20:00,;124,23:55:00,;124,01:20:00,;124,02:20:00,;124,03:20:00,;124,00:50:00,;124,02:50:00,;124,01:50:00,;124,00:20:00,2;124,23:55:00,2;124,01:20:00,2;124,02:20:00,2;124,03:20:00,2;124,00:50:00,2;124,02:50:00,2;124,01:50:00,2;124,00:20:00,1;124,23:55:00,1;124,01:20:00,1;124,02:20:00,1;124,03:20:00,1;124,00:50:00,1;124,02:50:00,1;124,01:50:00,1	204061,0,;204062,74,;203677,321,;203760,351,;202998,404,;203739,420,;203740,444,;203720,483,;201525,540,;200008,587,;200009,604,;200010,626,;200011,646,;202994,666,;200013,688,;203996,717,;200016,739,;200017,755,;200018,770,;200019,795,;203732,822,;200021,843,;200022,859,;200023,871,;202738,900,;200025,915,;200026,936,;200027,957,;200028,975,;200029,1003,;200030,1031,;200031,1053,;200032,1103,;200033,1128,;200034,1152,;200035,1201,;200036,1227,;202532,1276,;200037,1311,;200038,1356,;202995,1380,;200040,1412,;200041,1460,;200042,1479,;200043,1510,;200044,1542,;200045,1574,;200047,1623,;805006,1680,
S40	ST GEORGE FERRY via RICHMOND TERR	S400033	124,08:30:00,;124,08:30:00,2;124,08:30:00,1	204061,0,;204062,85,;203677,367,;203760,401,;202998,462,;203739,480,;203740,504,;203720,543,;201525,600,;200008,687,;200009,717,;200010,758,;200011,795,;202994,830,;200013,871,;203996,925,;200016,965,;200017,994,;200018,1021,;200019,1067,;203732,1117,;200021,1155,;200022,1186,;200023,1207,;202738,1260,;200025,1278,;200026,1306,;200027,1331,;200028,1354,;200029,1388,;200030,1423,;200031,1451,;200032,1513,;200033,1546,;200034,1575,;200035,1636,;200036,1669,;202532,1730,;200037,1773,;200038,1830,;202995,1860,;200040,1905,;200041,1972,;200042,1999,;200043,2042,;200044,2087,;200045,2132,;200047,2201,;805006,2280,
S40	ST GEORGE FERRY via RICHMOND TERR	S400033	124,08:55:00,;124,09:05:00,;124,09:45:00,;124,10:30:00,;124,10:50:00,;124,11:10:00,;124,11:30:00,;124,11:45:00,;124,09:30:00,;124,10:15:00,;124,10:00:00,;124,09:15:00,;124,12:00:00,;124,09:00:00,2;124,09:10:00,2;124,09:50:00,2;124,10:30:00,2;124,10:50:00,2;124,11:10:00,2;124,11:30:00,2;124,09:30:00,2;124,10:10:00,2;124,08:50:00,2;124,09:20:00,2;124,11:50:00,2;124,09:00:00,1;124,09:10:00,1;124,09:50:00,1;124,10:30:00,1;124,10:50:00,1;124,11:10:00,1;124,11:30:00,1;124,09:30:00,1;124,10:10:00,1;124,08:50:00,1;124,09:20:00,1;124,11:50:00,1	204061,0,;204062,85,;203677,367,;203760,401,;202998,462,;203739,480,;203740,504,;203720,543,;201525,600,;200008,679,;200009,706,;200010,743,;200011,777,;202994,809,;200013,846,;203996,895,;200016,932,;200017,958,;200018,983,;200019,1025,;203732,1070,;200021,1104,;200022,1132,;200023,1152,;202738,1200,;200025,1215,;200026,1236,;200027,1257,;200028,1275,;200029,1303,;200030,1331,;200031,1353,;200032,1403,;200033,1428,;200034,1452,;200035,1501,;200036,1527,;202532,1576,;200037,1611,;200038,1656,;202995,1680,;200040,1725,;200041,1792,;200042,1819,;200043,1862,;200044,1907,;200045,1952,;200047,2021,;805006,2100,
S40	ST GEORGE FERRY via RICHMOND TERR	S400033	124,12:15:00,;124,12:10:00,2;124,12:10:00,1	204061,0,;204062,85,;203677,367,;203760,401,;202998,462,;203739,480,;203740,504,;203720,543,;201525,600,;200008,679,;200009,706,;200010,743,;200011,777,;202994,809,;200013,846,;203996,895,;200016,932,;200017,958,;200018,983,;200019,1025,;203732,1070,;200021,1104,;200022,1132,;200023,1152,;202738,1200,;200025,1216,;200026,1241,;200027,1264,;200028,1284,;200029,1315,;200030,1347,;200031,1372,;200032,1428,;200033,1457,;200034,1483,;200035,1539,;200036,1568,;202532,1623,;200037,1662,;200038,1713,;202995,1740,;200040,1791,;200041,1867,;200042,1899,;200043,1948,;200044,1999,;200045,2051,;200047,2129,;805006,2220,
S40	ST GEORGE FERRY via RICHMOND TERR	S400033	124,12:35:00,;124,12:55:00,;124,13:15:00,;124,13:35:00,;124,13:55:00,;124,14:15:00,;124,14:35:00,;124,14:55:00,;124,12:30:00,2;124,12:50:00,2;124,13:10:00,2;124,13:30:00,2;124,13:50:00,2;124,14:10:00,2;124,14:30:00,2;124,14:50:00,2;124,12:30:00,1;124,12:50:00,1;124,13:10:00,1;124,13:30:00,1;124,13:50:00,1;124,14:10:00,1;124,14:30:00,1;124,14:50:00,1	204061,0,;204062,85,;203677,367,;203760,401,;202998,462,;203739,480,;203740,516,;203720,575,;201525,660,;200008,739,;200009,766,;200010,803,;200011,837,;202994,869,;200013,906,;203996,955,;200016,992,;200017,1018,;200018,1043,;200019,1085,;203732,1130,;200021,1164,;200022,1192,;200023,1212,;202738,1260,;200025,1276,;200026,1301,;200027,1324,;200028,1344,;200029,1375,;200030,1407,;200031,1432,;200032,1488,;200033,1517,;200034,1543,;200035,1599,;200036,1628,;202532,1683,;200037,1722,;200038,1773,;202995,1800,;200040,1851,;200041,1927,;200042,1959,;200043,2008,;200044,2059,;200045,2111,;200047,2189,;805006,2280,
S40	ST GEORGE FERRY via RICHMOND TERR	S400033	124,15:15:00,;124,15:30:00,;124,15:45:00,;124,16:15:00,;124,16:30:00,;124,16:45:00,;124,17:00:00,;124,17:15:00,;124,17:30:00,;124,17:45:00,;124,16:00:00,;124,15:10:00,2;124,15:30:00,2;124,15:45:00,2;124,16:15:00,2;124,16:30:00,2;124,16:45:00,2;124,17:00:00,2;124,17:15:00,2;124,17:30:00,2;124,17:45:00,2;124,16:00:00,2;124,15:10:00,1;124,15:30:00,1;124,15:45:00,1;124,16:15:00,1;124,16:30:00,1;124,16:45:00,1;124,17:00:00,1;124,17:15:00,1;124,17:30:00,1;124,17:45:00,1;124,16:00:00,1	204061,0,;204062,85,;203677,367,;203760,401,;202998,462,;203739,480,;203740,516,;203720,575,;201525,660,;200008,739,;200009,766,;200010,803,;200011,837,;202994,869,;200013,906,;203996,955,;200016,992,;200017,1018,;200018,1043,;200019,1085,;203732,1130,;200021,1164,;200022,1192,;200023,1212,;202738,1260,;200025,1278,;200026,1306,;200027,1331,;200028,1354,;200029,1388,;200030,1423,;200031,1451,;200032,1513,;200033,1546,;200034,1575,;200035,1636,;200036,1669,;202532,1730,;200037,1773,;200038,1830,;202995,1860,;200040,1918,;200041,2003,;200042,2038,;200043,2094,;200044,2151,;200045,2210,;200047,2298,;805006,2400,
S40	ST GEORGE FERRY via RICHMOND TERR	S400033	124,18:00:00,;124,18:00:00,2;124,18:00:00,1	204061,0,;204062,85,;203677,367,;203760,401,;202998,462,;203739,480,;203740,516,;203720,575,;201525,660,;200008,739,;200009,766,;200010,803,;200011,837,;202994,869,;200013,906,;203996,955,;200016,992,;200017,1018,;200018,1043,;200019,1085,;203732,1130,;200021,1164,;200022,1192,;200023,1212,;202738,1260,;200025,1278,;200026,1306,;200027,1331,;200028,1354,;200029,1388,;200030,1423,;200031,1451,;200032,1513,;200033,1546,;200034,1575,;200035,1636,;200036,1669,;202532,1730,;200037,1773,;200038,1830,;202995,1860,;200040,1911,;200041,1987,;200042,2019,;200043,2068,;200044,2119,;200045,2171,;200047,2249,;805006,2340,
S40	ST GEORGE FERRY via RICHMOND TERR	S400033	124,18:15:00,;124,18:10:00,2;124,18:10:00,1	204061,0,;204062,85,;203677,367,;203760,401,;202998,462,;203739,480,;203740,516,;203720,575,;201525,660,;200008,739,;200009,766,;200010,803,;200011,837,;202994,869,;200013,906,;203996,955,;200016,992,;200017,1018,;200018,1043,;200019,1085,;203732,1130,;200021,1164,;200022,1192,;200023,1212,;202738,1260,;200025,1275,;200026,1296,;200027,1317,;200028,1335,;200029,1363,;200030,1391,;200031,1413,;200032,1463,;200033,1488,;200034,1512,;200035,1561,;200036,1587,;202532,1636,;200037,1671,;200038,1716,;202995,1740,;200040,1791,;200041,1867,;200042,1899,;200043,1948,;200044,1999,;200045,2051,;200047,2129,;805006,2220,
S40	ST GEORGE FERRY via RICHMOND TERR	S400033	124,18:45:00,;124,18:30:00,;124,19:00:00,;124,18:45:00,2;124,18:30:00,2;124,19:00:00,2;124,18:45:00,1;124,18:30:00,1;124,19:00:00,1	204061,0,;204062,85,;203677,367,;203760,401,;202998,462,;203739,480,;203740,504,;203720,543,;201525,600,;200008,663,;200009,685,;200010,715,;200011,742,;202994,768,;200013,797,;203996,836,;200016,866,;200017,886,;200018,907,;200019,940,;203732,976,;200021,1003,;200022,1026,;200023,1042,;202738,1080,;200025,1095,;200026,1116,;200027,1137,;200028,1155,;200029,1183,;200030,1211,;200031,1233,;200032,1283,;200033,1308,;200034,1332,;200035,1381,;200036,1407,;202532,1456,;200037,1491,;200038,1536,;202995,1560,;200040,1611,;200041,1687,;200042,1719,;200043,1768,;200044,1819,;200045,1871,;200047,1949,;805006,2040,
S40	ST GEORGE FERRY via RICHMOND TERR	S400033	124,19:15:00,;124,19:15:00,2;124,19:15:00,1	204061,0,;204062,85,;203677,367,;203760,401,;202998,462,;203739,480,;203740,504,;203720,543,;201525,600,;200008,663,;200009,685,;200010,715,;200011,742,;202994,768,;200013,797,;203996,836,;200016,866,;200017,886,;200018,907,;200019,940,;203732,976,;200021,1003,;200022,1026,;200023,1042,;202738,1080,;200025,1093,;200026,1112,;200027,1130,;200028,1146,;200029,1170,;200030,1194,;200031,1214,;200032,1257,;200033,1280,;200034,1300,;200035,1343,;200036,1366,;202532,1409,;200037,1439,;200038,1479,;202995,1500,;200040,1545,;200041,1612,;200042,1639,;200043,1682,;200044,1727,;200045,1772,;200047,1841,;805006,1920,
S40	ST GEORGE FERRY via RICHMOND TERR	S400033	124,19:30:00,;124,20:00:00,;124,20:15:00,;124,20:35:00,;124,20:55:00,;124,21:15:00,;124,21:45:00,;124,22:15:00,;124,22:45:00,;124,23:20:00,;124,19:45:00,;124,19:30:00,2;124,20:00:00,2;124,20:15:00,2;124,20:35:00,2;124,20:55:00,2;124,21:15:00,2;124,21:45:00,2;124,22:15:00,2;124,22:45:00,2;124,23:20:00,2;124,19:45:00,2;124,19:30:00,1;124,20:00:00,1;124,20:15:00,1;124,20:35:00,1;124,20:55:00,1;124,21:15:00,1;124,21:45:00,1;124,22:15:00,1;124,22:45:00,1;124,23:20:00,1;124,19:45:00,1	204061,0,;204062,74,;203677,321,;203760,351,;202998,404,;203739,420,;203740,444,;203720,483,;201525,540,;200008,603,;200009,625,;200010,655,;200011,682,;202994,708,;200013,737,;203996,776,;200016,806,;200017,826,;200018,847,;200019,880,;203732,916,;200021,943,;200022,966,;200023,982,;202738,1020,;200025,1033,;200026,1052,;200027,1070,;200028,1086,;200029,1110,;200030,1134,;200031,1154,;200032,1197,;200033,1220,;200034,1240,;200035,1283,;200036,1306,;202532,1349,;200037,1379,;200038,1419,;202995,1440,;200040,1485,;200041,1552,;200042,1579,;200043,1622,;200044,1667,;200045,1712,;200047,1781,;805006,1860,
